bairro;codbnum;regiao_adm;codra;ra;rp;cod_rp;ap;area_plane;Pessoas alfabetizadas, Sexo masculino, 15 a 19 anos;Pessoas alfabetizadas, Sexo feminino, 15 a 19 anos;Pessoas alfabetizadas, Sexo masculino, 20 a 24 anos;Pessoas alfabetizadas, Sexo feminino, 20 a 24 anos;Pessoas alfabetizadas, Sexo masculino, 25 a 29 anos;Pessoas alfabetizadas, Sexo feminino, 25 a 29 anos;Pessoas alfabetizadas, Sexo masculino, 30 a 34 anos;Pessoas alfabetizadas, Sexo feminino, 30 a 34 anos;Pessoas alfabetizadas, Sexo masculino, 35 a 39 anos;Pessoas alfabetizadas, Sexo feminino, 35 a 39 anos;Pessoas alfabetizadas, Sexo masculino, 40 a 44 anos;Pessoas alfabetizadas, Sexo feminino, 40 a 44 anos;Pessoas alfabetizadas, Sexo masculino, 45 a 49 anos;Pessoas alfabetizadas, Sexo feminino, 45 a 49 anos;Pessoas alfabetizadas, Sexo masculino, 50 a 54 anos;Pessoas alfabetizadas, Sexo feminino, 50 a 54 anos;Pessoas alfabetizadas, Sexo masculino, 55 a 59 anos;Pessoas alfabetizadas, Sexo feminino, 55 a 59 anos;Pessoas alfabetizadas, Sexo masculino, 60 a 64 anos;Pessoas alfabetizadas, Sexo feminino, 60 a 64 anos;Pessoas alfabetizadas, Sexo masculino, 65 a 69 anos;Pessoas alfabetizadas, Sexo feminino, 65 a 69 anos;Pessoas alfabetizadas, Sexo masculino, 70 a 79 anos;Pessoas alfabetizadas, Sexo feminino, 70 a 79 anos;Pessoas alfabetizadas, Sexo masculino, 80 anos ou mais;Pessoas alfabetizadas, Sexo feminino, 80 anos ou mais
Parque Colúmbia;159;PAVUNA;25;XXV Pavuna;Pavuna;3.6;Área de Planejamento 3;3;314;270;309;303;298;288;250;311;247;297;258;267;224;291;225;273;256;292;182;252;137;169;142;200;75;119
Pavuna;114;PAVUNA;25;XXV Pavuna;Pavuna;3.6;Área de Planejamento 3;3;3149;3448;3520;4004;3377;3729;3186;3601;2980;3704;3304;3995;2744;3370;2614;3214;2420;3003;2087;2676;1575;2235;1721;2705;559;1169
Pechincha;121;JACAREPAGUA;16;XVI Jacarepaguá;Jacarepaguá;4.1;Área de Planejamento 4;4;957;889;1017;1154;1191;1270;1307;1515;1611;1796;1605;1921;1285;1549;1148;1424;1064;1446;1021;1443;866;1319;1026;1669;421;1020
Pedra de Guaratiba;153;GUARATIBA;26;XXVI Guaratiba;Guaratiba;5.4;Área de Planejamento 5;5;402;349;426;381;377;386;383;413;448;446;408;504;393;436;344;420;378;434;343;427;260;336;293;438;79;217
Penha;43;PENHA;11;XI Penha;Penha;3.5;Área de Planejamento 3;3;1702;1688;1937;2232;2002;2228;2176;2377;1983;2310;2037;2371;1609;1964;1532;2030;1536;2043;1560;2042;1236;1756;1363;2280;494;1239
Penha Circular;44;PENHA;11;XI Penha;Penha;3.5;Área de Planejamento 3;3;976;901;1221;1283;1137;1173;1247;1360;1237;1396;1328;1536;1178;1373;1077;1305;1056;1423;981;1352;872;1230;948;1622;451;1038
Piedade;69;MEIER;13;XIII Méier;Méier;3.2;Área de Planejamento 3;3;1093;1052;1324;1284;1202;1301;1232;1422;1372;1581;1466;1666;1204;1464;1145;1414;1134;1412;1081;1370;869;1270;932;1590;402;1031
Pilares;71;MEIER;13;XIII Méier;Méier;3.2;Área de Planejamento 3;3;703;672;788;813;770;836;707;800;671;850;798;997;684;862;676;863;660;901;633;920;551;770;607;1007;257;639
Pitangueiras;94;ILHA DO GOVERNADOR;20;XX Ilha do Governador;Ilha do Governador;3.7;Área de Planejamento 3;3;261;321;354;380;365;376;325;363;304;406;360;417;329;397;313;359;240;363;261;324;223;281;220;316;49;156
Portuguesa;103;ILHA DO GOVERNADOR;20;XX Ilha do Governador;Ilha do Governador;3.7;Área de Planejamento 3;3;525;539;670;698;699;704;630;694;698;790;690;834;607;743;580;690;493;719;462;647;415;681;594;1000;288;606
